Name,Team,W,L,SV,G,GS,IP,K%,BB%,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,ERA-,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
Luis Garcia,- - -,0.0,1.0,2.0,15.0,0.0,15.0,0.08108108,0.08108108,3.6000002288818505,3.6000002288818505,1.2000000762939502,0.3559322033898305,0.51470588,0.383333333,0.08,95.86000366210938,9.000000572204627,217.4925877756296,7.151659416758361,5.414297284020328,6.2122044472887135,-0.19179005175828934,Luis Garcia,6984,472610
Chase Shugart,PHI,2.0,1.0,0.0,35.0,0.0,41.0,0.27840909,0.09659091,10.756099562500664,3.731708011479822,1.9756101237246115,0.28865979381443296,0.77092511,0.37735849,0.195652173,96.13013698630137,4.609756955357427,108.68591359146451,4.235465147886635,5.080964174503302,3.9312624070531297,-0.19208543002605438,Chase Shugart,21544,663767
Bryan King,HOU,2.0,3.0,6.0,49.0,1.0,51.0,0.18666667,0.08444444,7.411766100507556,3.352941807372466,1.2352943500845928,0.2894736842105263,0.78220859,0.474683544,0.132075471,91.96929450757575,3.8823536716944345,93.86052967169769,3.9704364309717453,4.6299837016500724,4.4239728036458,-0.19648836366832256,Bryan King,25890,687911
Jeff Criswell,COL,0.0,0.0,0.0,3.0,0.0,4.0,0.16666667,0.16666667,6.75,6.75,4.5,0.2,1.0,0.333333333,0.4,95.3545439749053,4.5,94.7914871680059,9.104837123367929,10.330963802337646,5.729394136741758,-0.19713090360164642,Jeff Criswell,27608,676105
Lucas Giolito,SDP,2.0,3.0,0.0,7.0,5.0,29.2,0.13043478,0.16666667,5.4606742743304455,6.977528239422235,1.2134831720734323,0.30434782608695654,0.73412698,0.305263157,0.1,90.79912663755458,5.157303481312087,128.39853523627508,5.547480685581395,6.04725600073937,6.342192098102748,-0.20581085234880447,Lucas Giolito,15474,608337
Charlie Barnes,- - -,0.0,1.0,0.0,5.0,0.0,13.0,0.0952381,0.11111111,4.153846153846154,4.846153846153846,2.076923076923077,0.30434782608695654,0.67307692,0.469387755,0.23076923,89.34477757695896,6.923076923076923,167.38622196283535,7.442276988951513,7.004040725414569,5.522784992937858,-0.20587700605392456,Charlie Barnes,19865,656212
Jose Corniell,TEX,0.0,1.0,0.0,2.0,0.0,4.1,0.14285714,0.14285714,8.307692917141027,8.307692917141027,4.153846458570514,0.5,0.40983607,0.157894736,0.2,94.19629810474537,20.76923229285257,506.3352583547993,5.8439586019635685,10.004041233288504,7.508835513756584,-0.20630677044391632,Jose Corniell,27984,692030
JR Ritchie,ATL,1.0,2.0,1.0,14.0,8.0,58.0,0.20703125,0.140625,8.224138471941354,5.586207263960165,1.3965518159900412,0.24836601307189543,0.74270557,0.447204968,0.155172413,94.51086823836617,4.500000295967911,107.30938192669143,5.060014626421698,5.391308781876727,4.892811637303193,-0.21045377291738987,JR Ritchie,31760,702275
Ricky Vanasco,DET,0.0,1.0,0.0,5.0,0.0,6.1,0.1,0.15,5.68421166755509,8.526317501332635,2.842105833777545,0.42857142857142855,0.46511628,0.433333333,0.133333333,93.73333108836206,15.631582085776497,374.8074948393151,7.2170236224355975,8.765175469892736,8.25693810672307,-0.21906325221061707,Ricky Vanasco,23391,676568
Angel Chivilli,NYY,1.0,1.0,0.0,15.0,0.0,16.2,0.21917808,0.09589041,8.640002307129523,3.780001009369166,2.1600005767823807,0.2222222222222222,0.79268293,0.375,0.166666666,98.01525258209746,3.780001009369166,91.8954866855487,3.9913714772443623,5.720964507293889,4.787956003387276,-0.2211378663778305,Angel Chivilli,26790,683409
